date,year,tournament,match_weight,home_team,away_team,home_goals,away_goals,outcome,neutral
2002-05-20,2002,Friendly,0.3,Scotland,South Africa,0.0,2.0,-1,True
2002-05-21,2002,Friendly,0.3,South Korea,England,1.0,1.0,0,False
2002-05-21,2002,Friendly,0.3,San Marino,Estonia,0.0,1.0,-1,False
2002-05-21,2002,Friendly,0.3,Singapore,Uruguay,1.0,2.0,-1,False
2002-05-22,2002,Friendly,0.3,Finland,Latvia,2.0,1.0,1,False
2002-05-22,2002,Friendly,0.3,Norway,Iceland,1.0,1.0,0,False
2002-05-23,2002,Friendly,0.3,Ecuador,Senegal,0.0,1.0,-1,True
2002-05-23,2002,Friendly,0.3,South Africa,Turkey,2.0,0.0,1,True
2002-05-25,2002,Friendly,0.3,China PR,Portugal,0.0,2.0,-1,True
2002-05-25,2002,Friendly,0.3,Japan,Sweden,1.0,1.0,0,False
2002-05-25,2002,Friendly,0.3,Malaysia,Brazil,0.0,4.0,-1,False
2002-05-26,2002,Friendly,0.3,Belgium,Costa Rica,1.0,0.0,1,True
2002-05-26,2002,Friendly,0.3,Cameroon,England,2.0,2.0,0,True
2002-05-26,2002,Friendly,0.3,Denmark,Tunisia,2.0,1.0,1,True
2002-05-26,2002,Friendly,0.3,South Korea,France,2.0,3.0,-1,False
2002-05-30,2002,Friendly,0.3,Kuwait,Iran,1.0,3.0,-1,False
2002-05-31,2002,FIFA World Cup,1.0,France,Senegal,0.0,1.0,-1,True
2002-06-01,2002,FIFA World Cup,1.0,Germany,Saudi Arabia,8.0,0.0,1,True
2002-06-01,2002,FIFA World Cup,1.0,Republic of Ireland,Cameroon,1.0,1.0,0,True
2002-06-01,2002,FIFA World Cup,1.0,Uruguay,Denmark,1.0,2.0,-1,True
2002-06-02,2002,FIFA World Cup,1.0,Argentina,Nigeria,1.0,0.0,1,True
2002-06-02,2002,FIFA World Cup,1.0,England,Sweden,1.0,1.0,0,True
2002-06-02,2002,FIFA World Cup,1.0,Paraguay,South Africa,2.0,2.0,0,True
2002-06-02,2002,FIFA World Cup,1.0,Spain,Slovenia,3.0,1.0,1,True
2002-06-03,2002,FIFA World Cup,1.0,Brazil,Turkey,2.0,1.0,1,True
2002-06-03,2002,FIFA World Cup,1.0,Croatia,Mexico,0.0,1.0,-1,True
2002-06-03,2002,FIFA World Cup,1.0,Italy,Ecuador,2.0,0.0,1,True
2002-06-04,2002,FIFA World Cup,1.0,China PR,Costa Rica,0.0,2.0,-1,True
2002-06-04,2002,FIFA World Cup,1.0,Japan,Belgium,2.0,2.0,0,False
2002-06-04,2002,FIFA World Cup,1.0,South Korea,Poland,2.0,0.0,1,False
2002-06-05,2002,FIFA World Cup,1.0,Germany,Republic of Ireland,1.0,1.0,0,True
2002-06-05,2002,FIFA World Cup,1.0,Russia,Tunisia,2.0,0.0,1,True
2002-06-05,2002,FIFA World Cup,1.0,United States,Portugal,3.0,2.0,1,True
2002-06-06,2002,FIFA World Cup,1.0,Cameroon,Saudi Arabia,1.0,0.0,1,True
2002-06-06,2002,FIFA World Cup,1.0,Denmark,Senegal,1.0,1.0,0,True
2002-06-06,2002,FIFA World Cup,1.0,France,Uruguay,0.0,0.0,0,True
2002-06-06,2002,Friendly,0.3,Saint Martin,Anguilla,2.0,1.0,1,False
2002-06-07,2002,Friendly,0.3,Andorra,Armenia,0.0,2.0,-1,False
2002-06-07,2002,FIFA World Cup,1.0,Argentina,England,0.0,1.0,-1,True
2002-06-07,2002,FIFA World Cup,1.0,Spain,Paraguay,3.0,1.0,1,True
2002-06-07,2002,FIFA World Cup,1.0,Sweden,Nigeria,2.0,1.0,1,True
2002-06-08,2002,FIFA World Cup,1.0,Brazil,China PR,4.0,0.0,1,True
2002-06-08,2002,FIFA World Cup,1.0,Italy,Croatia,1.0,2.0,-1,True
2002-06-08,2002,Friendly,0.3,Malawi,Botswana,2.0,0.0,1,False
2002-06-08,2002,FIFA World Cup,1.0,South Africa,Slovenia,1.0,0.0,1,True
2002-06-09,2002,FIFA World Cup,1.0,Costa Rica,Turkey,1.0,1.0,0,True
2002-06-09,2002,FIFA World Cup,1.0,Japan,Russia,1.0,0.0,1,False
2002-06-09,2002,Friendly,0.3,Malawi,Botswana,1.0,0.0,1,False
2002-06-09,2002,FIFA World Cup,1.0,Mexico,Ecuador,2.0,1.0,1,True
2002-06-10,2002,FIFA World Cup,1.0,South Korea,United States,1.0,1.0,0,False
2002-06-10,2002,FIFA World Cup,1.0,Portugal,Poland,4.0,0.0,1,True
2002-06-10,2002,FIFA World Cup,1.0,Tunisia,Belgium,1.0,1.0,0,True
2002-06-11,2002,FIFA World Cup,1.0,Cameroon,Germany,0.0,2.0,-1,True
2002-06-11,2002,FIFA World Cup,1.0,Denmark,France,2.0,0.0,1,True
2002-06-11,2002,FIFA World Cup,1.0,Saudi Arabia,Republic of Ireland,0.0,3.0,-1,True
2002-06-11,2002,FIFA World Cup,1.0,Senegal,Uruguay,3.0,3.0,0,True
2002-06-12,2002,FIFA World Cup,1.0,Nigeria,England,0.0,0.0,0,True
2002-06-12,2002,FIFA World Cup,1.0,Slovenia,Paraguay,1.0,3.0,-1,True
2002-06-12,2002,FIFA World Cup,1.0,South Africa,Spain,2.0,3.0,-1,True
2002-06-12,2002,FIFA World Cup,1.0,Sweden,Argentina,1.0,1.0,0,True
2002-06-13,2002,FIFA World Cup,1.0,Costa Rica,Brazil,2.0,5.0,-1,True
2002-06-13,2002,FIFA World Cup,1.0,Ecuador,Croatia,1.0,0.0,1,True
2002-06-13,2002,FIFA World Cup,1.0,Mexico,Italy,1.0,1.0,0,True
2002-06-13,2002,FIFA World Cup,1.0,Turkey,China PR,3.0,0.0,1,True
2002-06-14,2002,FIFA World Cup,1.0,Belgium,Russia,3.0,2.0,1,True
2002-06-14,2002,FIFA World Cup,1.0,Japan,Tunisia,2.0,0.0,1,False
2002-06-14,2002,FIFA World Cup,1.0,South Korea,Portugal,1.0,0.0,1,False
2002-06-14,2002,FIFA World Cup,1.0,Poland,United States,3.0,1.0,1,True
2002-06-15,2002,FIFA World Cup,1.0,Denmark,England,0.0,3.0,-1,True
2002-06-15,2002,FIFA World Cup,1.0,Germany,Paraguay,1.0,0.0,1,True
2002-06-16,2002,FIFA World Cup,1.0,Spain,Republic of Ireland,1.0,1.0,0,True
2002-06-16,2002,FIFA World Cup,1.0,Sweden,Senegal,1.0,2.0,-1,True
2002-06-17,2002,FIFA World Cup,1.0,Brazil,Belgium,2.0,0.0,1,True
2002-06-17,2002,FIFA World Cup,1.0,Mexico,United States,0.0,2.0,-1,True
2002-06-18,2002,FIFA World Cup,1.0,Japan,Turkey,0.0,1.0,-1,False
2002-06-18,2002,FIFA World Cup,1.0,South Korea,Italy,2.0,1.0,1,False
2002-06-21,2002,FIFA World Cup,1.0,England,Brazil,1.0,2.0,-1,True
2002-06-21,2002,FIFA World Cup,1.0,Germany,United States,1.0,0.0,1,True
2002-06-22,2002,Friendly,0.3,Grenada,British Virgin Islands,5.0,0.0,1,False
