date,year,tournament,match_weight,home_team,away_team,home_goals,away_goals,outcome,neutral,home_elo,away_elo,elo_diff,home_elo_adj,expected_home,K,elo_delta,home_form,away_form,form_diff
1982-07-08,1982,FIFA World Cup,1.0,Germany,France,3.0,3.0,0,True,1906.2,1748.4,157.8,1906.2,0.7127,60,-12.76,37.109999999999985,106.44000000000001,-69.33000000000003
1982-07-08,1982,FIFA World Cup,1.0,Poland,Italy,0.0,2.0,-1,True,1819.2,1804.9,14.3,1819.2,0.5206,60,-31.23,5.239999999999991,95.49000000000001,-90.25000000000001
1982-07-10,1982,FIFA World Cup,1.0,Poland,France,3.0,2.0,1,True,1788.0,1761.1,26.8,1788.0,0.5386,60,27.69,44.91,46.93,-2.020000000000003
1982-07-11,1982,FIFA World Cup,1.0,Italy,Germany,3.0,1.0,1,True,1836.1,1893.4,-57.3,1836.1,0.4183,60,34.9,139.51999999999998,-9.940000000000012,149.45999999999998
1986-05-31,1986,FIFA World Cup,1.0,Bulgaria,Italy,1.0,1.0,0,True,1671.1,1747.3,-76.2,1671.1,0.392,60,6.48,17.93,-17.52000000000001,35.45000000000001
1986-06-01,1986,FIFA World Cup,1.0,Canada,France,0.0,1.0,-1,True,1592.9,1813.2,-220.2,1592.9,0.2196,60,-13.18,-27.809999999999995,21.279999999999994,-49.08999999999999
1986-06-01,1986,FIFA World Cup,1.0,Spain,Brazil,0.0,1.0,-1,True,1734.4,1745.4,-11.0,1734.4,0.4841,60,-29.05,1.7999999999999865,38.17999999999998,-36.379999999999995
1986-06-02,1986,FIFA World Cup,1.0,Argentina,South Korea,3.0,1.0,1,True,1696.5,1668.7,27.9,1696.5,0.54,60,27.6,14.189999999999964,-38.58000000000001,52.769999999999975
1986-06-02,1986,FIFA World Cup,1.0,Morocco,Poland,0.0,0.0,0,True,1655.8,1687.4,-31.6,1655.8,0.4546,60,2.72,-23.619999999999997,-17.610000000000014,-6.009999999999984
1986-06-02,1986,FIFA World Cup,1.0,Russia,Hungary,6.0,0.0,1,True,1797.4,1741.6,55.8,1797.4,0.5796,60,25.22,-20.65,-7.5900000000000105,-13.059999999999988
1986-06-03,1986,FIFA World Cup,1.0,Algeria,Northern Ireland,1.0,1.0,0,True,1668.7,1692.6,-23.9,1668.7,0.4656,60,2.06,-42.63999999999999,18.259999999999977,-60.89999999999997
1986-06-03,1986,FIFA World Cup,1.0,Mexico,Belgium,2.0,1.0,1,False,1731.5,1685.8,45.7,1831.5,0.6982,60,18.11,23.92000000000001,-46.91000000000001,70.83000000000001
1986-06-03,1986,FIFA World Cup,1.0,Portugal,England,1.0,0.0,1,True,1669.1,1807.7,-138.6,1669.1,0.3105,60,41.37,55.21,-2.6899999999999764,57.89999999999998
1986-06-04,1986,FIFA World Cup,1.0,Paraguay,Iraq,1.0,0.0,1,True,1672.4,1662.2,10.2,1672.4,0.5147,60,29.12,43.510000000000005,-72.19,115.7
1986-06-04,1986,FIFA World Cup,1.0,Scotland,Denmark,0.0,1.0,-1,True,1719.2,1705.3,13.9,1719.2,0.52,60,-31.2,-22.519999999999975,21.53,-44.049999999999976
1986-06-04,1986,FIFA World Cup,1.0,Uruguay,Germany,1.0,1.0,0,True,1727.8,1787.1,-59.3,1727.8,0.4155,60,5.07,-10.60999999999999,9.08999999999999,-19.69999999999998
1986-06-05,1986,FIFA World Cup,1.0,France,Russia,1.0,1.0,0,True,1826.4,1822.6,3.8,1826.4,0.5054,60,-0.32,20.529999999999994,-9.519999999999998,30.04999999999999
1986-06-05,1986,FIFA World Cup,1.0,Italy,Argentina,1.0,1.0,0,True,1740.8,1724.1,16.7,1740.8,0.524,60,-1.44,-10.250000000000007,16.109999999999964,-26.35999999999997
1986-06-05,1986,FIFA World Cup,1.0,South Korea,Bulgaria,1.0,1.0,0,True,1641.1,1677.6,-36.5,1641.1,0.4477,60,3.14,-20.64000000000001,11.3,-31.940000000000012
1986-06-06,1986,FIFA World Cup,1.0,Brazil,Algeria,1.0,0.0,1,True,1774.5,1670.7,103.7,1774.5,0.645,60,21.3,52.54999999999998,-59.92,112.46999999999998
